,tourney_name,winner_name,loser_name
0,Atp Cup,Felix Auger Aliassime,Roberto Bautista Agut
1,Atp Cup,Denis Shapovalov,Pablo Carreno Busta
54,Adelaide 1,Gael Monfils,Karen Khachanov
81,Melbourne,Rafael Nadal,Maxime Cressy
108,Adelaide 2,Thanasi Kokkinakis,Arthur Rinderknech
135,Sydney,Aslan Karatsev,Andy Murray
288,Australian Open,Rafael Nadal,Daniil Medvedev
289,Cordoba,Albert Ramos,Alejandro Tabilo
316,Montpellier,Alexander Bublik,Alexander Zverev
343,Pune,Joao Sousa,Emil Ruusuvuori
370,Buenos Aires,Casper Ruud,Diego Schwartzman
397,Rotterdam,Felix Auger Aliassime,Stefanos Tsitsipas
428,Dallas,Reilly Opelka,Jenson Brooksby
455,Delray Beach,Cameron Norrie,Reilly Opelka
482,Doha,Roberto Bautista Agut,Nikoloz Basilashvili
509,Rio de Janeiro,Carlos Alcaraz,Diego Schwartzman
536,Marseille,Andrey Rublev,Felix Auger Aliassime
563,Acapulco,Rafael Nadal,Cameron Norrie
594,Dubai,Andrey Rublev,Jiri Vesely
625,Santiago,Pedro Martinez,Sebastian Baez
652,Indian Wells Masters,Taylor Fritz,Rafael Nadal
747,Miami Masters,Carlos Alcaraz,Casper Ruud
842,Houston,Reilly Opelka,John Isner
869,Marrakech,David Goffin,Alex Molcan
900,Monte Carlo Masters,Stefanos Tsitsipas,Alejandro Davidovich Fokina
955,Barcelona,Carlos Alcaraz,Pablo Carreno Busta
1002,Belgrade ,Andrey Rublev,Novak Djokovic
1029,Estoril,Sebastian Baez,Frances Tiafoe
1056,Munich,Holger Rune,Botic Van De Zandschulp
1083,Madrid Masters,Carlos Alcaraz,Alexander Zverev
1138,Rome Masters,Novak Djokovic,Stefanos Tsitsipas
1193,Geneva,Casper Ruud,Joao Sousa
1220,Lyon,Cameron Norrie,Alex Molcan
1373,Roland Garros,Rafael Nadal,Casper Ruud
1374,s Hertogenbosch,Tim Van Rijthoven,Daniil Medvedev
1401,Stuttgart,Matteo Berrettini,Andy Murray
1428,Halle,Hubert Hurkacz,Daniil Medvedev
1459,Queen's Club,Matteo Berrettini,Filip Krajinovic
1516,Mallorca,Stefanos Tsitsipas,Roberto Bautista Agut
1543,Eastbourne,Taylor Fritz,Maxime Cressy
1670,Wimbledon,Novak Djokovic,Nick Kyrgios
1671,Bastad,Francisco Cerundolo,Sebastian Baez
1698,Newport,Maxime Cressy,Alexander Bublik
1725,Hamburg,Lorenzo Musetti,Carlos Alcaraz
1756,Gstaad,Casper Ruud,Matteo Berrettini
1783,Atlanta,Alex De Minaur,Jenson Brooksby
1810,Kitzbuhel,Roberto Bautista Agut,Filip Misolic
1837,Umag,Jannik Sinner,Carlos Alcaraz
1864,Los Cabos,Daniil Medvedev,Cameron Norrie
1891,Washington,Nick Kyrgios,Yoshihito Nishioka
1938,Canada Masters,Pablo Carreno Busta,Hubert Hurkacz
1993,Cincinnati Masters,Borna Coric,Stefanos Tsitsipas
2048,Winston-Salem,Adrian Mannarino,Laslo Djere
2221,Us Open,Carlos Alcaraz,Casper Ruud
2222,San Diego,Brandon Nakashima,Marcos Giron
2249,Metz,Lorenzo Sonego,Alexander Bublik
2284,Seoul,Yoshihito Nishioka,Denis Shapovalov
2311,Sofia,Marc Andrea Huesler,Holger Rune
2338,Tel Aviv,Novak Djokovic,Marin Cilic
2365,Astana,Novak Djokovic,Stefanos Tsitsipas
2396,Tokyo,Taylor Fritz,Frances Tiafoe
2427,Florence,Felix Auger Aliassime,J J Wolf
2454,Gijon,Andrey Rublev,Sebastian Korda
2481,Naples,Lorenzo Musetti,Matteo Berrettini
2508,Stockholm,Holger Rune,Stefanos Tsitsipas
2535,Antwerp,Felix Auger Aliassime,Sebastian Korda
2562,Basel,Felix Auger Aliassime,Holger Rune
2593,Vienna,Daniil Medvedev,Denis Shapovalov
2624,Paris Masters,Holger Rune,Novak Djokovic
2679,NextGen Finals,Brandon Nakashima,Jiri Lehecka
2694,Tour Finals,Novak Djokovic,Casper Ruud
